Form ID	Name	Editor Name	Value	Weight
0001DD4A	Daedric Battleaxe of the Sorcerer	EnchDaedricBattleaxeAbsorbM06	2750	27
0001DD41	Daedric Battleaxe of the Vampire	EnchDaedricBattleaxeAbsorbH06	2750	27
0001DFC9	Daedric Battleaxe of Thunderbolts	EnchDaedricBattleaxeShock04	2750	27
0001DD42	Daedric Battleaxe of Winnowing	EnchDaedricBattleaxeAbsorbM04	2750	27
0001DED0	Daedric Battleaxe of Winter	EnchDaedricBattleaxeFrost06	2750	27
000139B5	Daedric Bow	DaedricBow	2500	18
0001DFF3	Daedric Bow of Animus	EnchDaedricBowSoulTrap04	875	18
0001DFE0	Daedric Bow of Annihilating	EnchDaedricBowBanish06	875	18
0001DFDE	Daedric Bow of Banishing	EnchDaedricBowBanish04	875	18
0001DFE8	Daedric Bow of Blizzards	EnchDaedricBowFrost05	875	18
0001DFF5	Daedric Bow of Damnation	EnchDaedricBowSoulTrap06	875	18
0001DFF7	Daedric Bow of Debilitation	EnchDaedricBowStamina04	875	18
0001DFEA	Daedric Bow of Depleting	EnchDaedricBowMagicka04	875	18
0001DFE1	Daedric Bow of Despair	EnchDaedricBowFear04	875	18
0001DFE2	Daedric Bow of Dread	EnchDaedricBowFear05	875	18
0001DFEB	Daedric Bow of Enervating	EnchDaedricBowMagicka05	875	18
0001DFF9	Daedric Bow of Exhaustion	EnchDaedricBowStamina06	875	18
0001DFDF	Daedric Bow of Expelling	EnchDaedricBowBanish05	875	18
0001DFE4	Daedric Bow of Fire	EnchDaedricBowFire04	875	18
0001DFE7	Daedric Bow of Freezing	EnchDaedricBowFrost04	875	18
0001DFEE	Daedric Bow of Immobilizing	EnchDaedricBowParalyze05	875	18
0001DFF8	Daedric Bow of Lethargy	EnchDaedricBowStamina05	875	18
0001DFF1	Daedric Bow of Lightning	EnchDaedricBowShock05	875	18
0001DFF4	Daedric Bow of Malediction	EnchDaedricBowSoulTrap05	875	18
0001DFEC	Daedric Bow of Nullifying	EnchDaedricBowMagicka06	875	18
0001DFEF	Daedric Bow of Petrifying	EnchDaedricBowParalyze06	875	18
0001DFF2	Daedric Bow of Storms	EnchDaedricBowShock06	875	18
0001DFED	Daedric Bow of Stunning	EnchDaedricBowParalyze04	875	18
0001DFE3	Daedric Bow of Terror	EnchDaedricBowFear06	875	18
0001DFE5	Daedric Bow of the Blaze	EnchDaedricBowFire05	875	18
0001DFE6	Daedric Bow of the Inferno	EnchDaedricBowFire06	875	18
0001DFF0	Daedric Bow of Thunderbolts	EnchDaedricBowShock04	875	18
0001DFE9	Daedric Bow of Winter	EnchDaedricBowFrost06	875	18
000139B6	Daedric Dagger	DaedricDagger	500	6
0001E089	Daedric Dagger of Animus	EnchDaedricDaggerSoulTrap04	500	6
0001E008	Daedric Dagger of Annihilating	EnchDaedricDaggerBanish06	500	6
0001E006	Daedric Dagger of Banishing	EnchDaedricDaggerBanish04	500	6
0001E05C	Daedric Dagger of Blizzards	EnchDaedricDaggerFrost05	500	6
0001E0D6	Daedric Dagger of Damnation	EnchDaedricDaggerSoulTrap06	500	6
0001E0D7	Daedric Dagger of Debilitation	EnchDaedricDaggerStamina04	500	6
0001E071	Daedric Dagger of Depleting	EnchDaedricDaggerMagicka04	500	6
0001E009	Daedric Dagger of Despair	EnchDaedricDaggerFear04	500	6
0001DFFD	Daedric Dagger of Devouring	EnchDaedricDaggerAbsorbH04	500	6
0001E018	Daedric Dagger of Dread	EnchDaedricDaggerFear05	500	6
0001E081	Daedric Dagger of Enervating	EnchDaedricDaggerMagicka05	500	6
0001E001	Daedric Dagger of Evoking	EnchDaedricDaggerAbsorbM05	500	6
0001E0D9	Daedric Dagger of Exhaustion	EnchDaedricDaggerStamina06	500	6
0001E007	Daedric Dagger of Expelling	EnchDaedricDaggerBanish05	500	6
0001E023	Daedric Dagger of Fire	EnchDaedricDaggerFire04	500	6
0001E05B	Daedric Dagger of Freezing	EnchDaedricDaggerFrost04	500	6
0001E004	Daedric Dagger of Garnering	EnchDaedricDaggerAbsorbS05	500	6
0001E003	Daedric Dagger of Harvesting	EnchDaedricDaggerAbsorbS04	500	6
0001E084	Daedric Dagger of Immobilizing	EnchDaedricDaggerParalyze05	500	6
0001DFFE	Daedric Dagger of Leeching	EnchDaedricDaggerAbsorbH05	500	6
0001E0D8	Daedric Dagger of Lethargy	EnchDaedricDaggerStamina05	500	6
0001E087	Daedric Dagger of Lightning	EnchDaedricDaggerShock05	500	6
0001E09F	Daedric Dagger of Malediction	EnchDaedricDaggerSoulTrap05	500	6
0001E082	Daedric Dagger of Nullifying	EnchDaedricDaggerMagicka06	500	6
0001E085	Daedric Dagger of Petrifying	EnchDaedricDaggerParalyze06	500	6
0001E088	Daedric Dagger of Storms	EnchDaedricDaggerShock06	500	6
0001E083	Daedric Dagger of Stunning	EnchDaedricDaggerParalyze04	500	6
0001E005	Daedric Dagger of Subsuming	EnchDaedricDaggerAbsorbS06	500	6
0001E022	Daedric Dagger of Terror	EnchDaedricDaggerFear06	500	6
0001E024	Daedric Dagger of the Blaze	EnchDaedricDaggerFire05	500	6
0001E033	Daedric Dagger of the Inferno	EnchDaedricDaggerFire06	500	6
0001E002	Daedric Dagger of the Sorcerer	EnchDaedricDaggerAbsorbM06	500	6
0001DFFF	Daedric Dagger of the Vampire	EnchDaedricDaggerAbsorbH06	500	6
0001E086	Daedric Dagger of Thunderbolts	EnchDaedricDaggerShock04	500	6
0001E000	Daedric Dagger of Winnowing	EnchDaedricDaggerAbsorbM04	500	6
0001E05D	Daedric Dagger of Winter	EnchDaedricDaggerFrost06	500	6
000139B7	Daedric Greatsword	DaedricGreatsword	2500	23
00028D7C	Daedric Greatsword of Animus	EnchDaedricGreatswordSoulTrap04	2500	23
00028D68	Daedric Greatsword of Annihilating	EnchDaedricGreatswordBanish06	2500	23
00028D66	Daedric Greatsword of Banishing	EnchDaedricGreatswordBanish04	2500	23
00028D70	Daedric Greatsword of Blizzards	EnchDaedricGreatswordFrost05	2500	23
00028D81	Daedric Greatsword of Damnation	EnchDaedricGreatswordSoulTrap06	2500	23
00028D82	Daedric Greatsword of Debilitation	EnchDaedricGreatswordStamina04	2500	23
00028D72	Daedric Greatsword of Depleting	EnchDaedricGreatswordMagicka04	2500	23
00028D69	Daedric Greatsword of Despair	EnchDaedricGreatswordFear04	2500	23
00028D5E	Daedric Greatsword of Devouring	EnchDaedricGreatswordAbsorbH04	2500	23
00028D6A	Daedric Greatsword of Dread	EnchDaedricGreatswordFear05	2500	23
00028D73	Daedric Greatsword of Enervating	EnchDaedricGreatswordMagicka05	2500	23
00028D62	Daedric Greatsword of Evoking	EnchDaedricGreatswordAbsorbM05	2500	23
00028D84	Daedric Greatsword of Exhaustion	EnchDaedricGreatswordStamina06	2500	23
00028D67	Daedric Greatsword of Expelling	EnchDaedricGreatswordBanish05	2500	23
00028D6C	Daedric Greatsword of Fire	EnchDaedricGreatswordFire04	2500	23
00028D6F	Daedric Greatsword of Freezing	EnchDaedricGreatswordFrost04	2500	23
00028D65	Daedric Greatsword of Garnering	EnchDaedricGreatswordAbsorbS05	2500	23
00028D64	Daedric Greatsword of Harvesting	EnchDaedricGreatswordAbsorbS04	2500	23
00028D76	Daedric Greatsword of Immobilizing	EnchDaedricGreatswordParalyze05	2500	23
00028D5F	Daedric Greatsword of Leeching	EnchDaedricGreatswordAbsorbH05	2500	23
00028D83	Daedric Greatsword of Lethargy	EnchDaedricGreatswordStamina05	2500	23
00028D7A	Daedric Greatsword of Lightning	EnchDaedricGreatswordShock05	2500	23
00028D80	Daedric Greatsword of Malediction	EnchDaedricGreatswordSoulTrap05	2500	23
00028D74	Daedric Greatsword of Nullifying	EnchDaedricGreatswordMagicka06	2500	23
00028D77	Daedric Greatsword of Petrifying	EnchDaedricGreatswordParalyze06	2500	23
00028D7B	Daedric Greatsword of Storms	EnchDaedricGreatswordShock06	2500	23
00028D75	Daedric Greatsword of Stunning	EnchDaedricGreatswordParalyze04	2500	23
00028DE0	Daedric Greatsword of Subsuming	EnchDaedricGreatswordAbsorbS06	2500	23
00028D6B	Daedric Greatsword of Terror	EnchDaedricGreatswordFear06	2500	23
00028D6D	Daedric Greatsword of the Blaze	EnchDaedricGreatswordFire05	2500	23
00017009	Daedric Greatsword of the Inferno	EnchDaedricGreatswordDremoraFire06	2500	23
00028D6E	Daedric Greatsword of the Inferno	EnchDaedricGreatswordFire06	2500	23
00028D63	Daedric Greatsword of the Sorcerer	EnchDaedricGreatswordAbsorbM06	2500	23
00028D60	Daedric Greatsword of the Vampire	EnchDaedricGreatswordAbsorbH06	2500	23
00028D78	Daedric Greatsword of Thunderbolts	EnchDaedricGreatswordShock04	2500	23
00028D61	Daedric Greatsword of Winnowing	EnchDaedricGreatswordAbsorbM04	2500	23
00028D71	Daedric Greatsword of Winter	EnchDaedricGreatswordFrost06	2500	23
000139B8	Daedric Mace	DaedricMace	1750	20
00028DFF	Daedric Mace of Animus	EnchDaedricMaceSoulTrap04	1750	20
00028DE4	Daedric Mace of Annihilating	EnchDaedricMaceBanish06	1750	20
00028DE2	Daedric Mace of Banishing	EnchDaedricMaceBanish04	1750	20
00028DEC	Daedric Mace of Blizzards	EnchDaedricMaceFrost05	1750	20
00028E28	Daedric Mace of Damnation	EnchDaedricMaceSoulTrap06	1750	20
00028E32	Daedric Mace of Debilitation	EnchDaedricMaceStamina04	1750	20
00028DEE	Daedric Mace of Depleting	EnchDaedricMaceMagicka04	1750	20
00028DE5	Daedric Mace of Despair	EnchDaedricMaceFear04	1750	20
00028DC6	Daedric Mace of Devouring	EnchDaedricMaceAbsorbH04	1750	20
00028DE6	Daedric Mace of Dread	EnchDaedricMaceFear05	1750	20
00028DEF	Daedric Mace of Enervating	EnchDaedricMaceMagicka05	1750	20
00028DDB	Daedric Mace of Evoking	EnchDaedricMaceAbsorbM05	1750	20
00028E5D	Daedric Mace of Exhaustion	EnchDaedricMaceStamina06	1750	20
00028DE3	Daedric Mace of Expelling	EnchDaedricMaceBanish05	1750	20
00028DE8	Daedric Mace of Fire	EnchDaedricMaceFire04	1750	20
00028DEB	Daedric Mace of Freezing	EnchDaedricMaceFrost04	1750	20
00028DDF	Daedric Mace of Garnering	EnchDaedricMaceAbsorbS05	1750	20
00028DDE	Daedric Mace of Harvesting	EnchDaedricMaceAbsorbS04	1750	20
00028DF2	Daedric Mace of Immobilizing	EnchDaedricMaceParalyze05	1750	20
00028DC9	Daedric Mace of Leeching	EnchDaedricMaceAbsorbH05	1750	20
00028E33	Daedric Mace of Lethargy	EnchDaedricMaceStamina05	1750	20
00028DF6	Daedric Mace of Lightning	EnchDaedricMaceShock05	1750	20
00028E00	Daedric Mace of Malediction	EnchDaedricMaceSoulTrap05	1750	20
00028DF0	Daedric Mace of Nullifying	EnchDaedricMaceMagicka06	1750	20
00028DF4	Daedric Mace of Petrifying	EnchDaedricMaceParalyze06	1750	20
00028DF7	Daedric Mace of Storms	EnchDaedricMaceShock06	1750	20
00028DF1	Daedric Mace of Stunning	EnchDaedricMaceParalyze04	1750	20
00028DE1	Daedric Mace of Subsuming	EnchDaedricMaceAbsorbS06	1750	20
00028DE7	Daedric Mace of Terror	EnchDaedricMaceFear06	1750	20
00028DE9	Daedric Mace of the Blaze	EnchDaedricMaceFire05	1750	20
0010FD5E	Daedric Mace of the Inferno	SummonedDaedricMaceFire06	1750	20
00028DEA	Daedric Mace of the Inferno	EnchDaedricMaceFire06	1750	20
00028DDC	Daedric Mace of the Sorcerer	EnchDaedricMaceAbsorbM06	1750	20
00028DD4	Daedric Mace of the Vampire	EnchDaedricMaceAbsorbH06	1750	20
00028DF5	Daedric Mace of Thunderbolts	EnchDaedricMaceShock04	1750	20
00028DD9	Daedric Mace of Winnowing	EnchDaedricMaceAbsorbM04	1750	20
00028DED	Daedric Mace of Winter	EnchDaedricMaceFrost06	1750	20
000139B9	Daedric Sword	DaedricSword	1250	16
00028FED	Daedric Sword of Animus	EnchDaedricSwordSoulTrap04	1250	16
00028E83	Daedric Sword of Annihilating	EnchDaedricSwordBanish06	1250	16
00028E81	Daedric Sword of Banishing	EnchDaedricSwordBanish04	1250	16
00028EDC	Daedric Sword of Blizzards	EnchDaedricSwordFrost05	1250	16
0002950E	Daedric Sword of Damnation	EnchDaedricSwordSoulTrap06	1250	16
00029527	Daedric Sword of Debilitation	EnchDaedricSwordStamina04	1250	16
00028EF9	Daedric Sword of Depleting	EnchDaedricSwordMagicka04	1250	16
00028E84	Daedric Sword of Despair	EnchDaedricSwordFear04	1250	16
00028E78	Daedric Sword of Devouring	EnchDaedricSwordAbsorbH04	1250	16
00028E85	Daedric Sword of Dread	EnchDaedricSwordFear05	1250	16
00028EFB	Daedric Sword of Enervating	EnchDaedricSwordMagicka05	1250	16
00028E7C	Daedric Sword of Evoking	EnchDaedricSwordAbsorbM05	1250	16
0002954B	Daedric Sword of Exhaustion	EnchDaedricSwordStamina06	1250	16
00028E82	Daedric Sword of Expelling	EnchDaedricSwordBanish05	1250	16
00028E87	Daedric Sword of Fire	EnchDaedricSwordFire04	1250	16
00028EDB	Daedric Sword of Freezing	EnchDaedricSwordFrost04	1250	16
00028E7F	Daedric Sword of Garnering	EnchDaedricSwordAbsorbS05	1250	16
00028E7E	Daedric Sword of Harvesting	EnchDaedricSwordAbsorbS04	1250	16
00028F8D	Daedric Sword of Immobilizing	EnchDaedricSwordParalyze05	1250	16
00028E79	Daedric Sword of Leeching	EnchDaedricSwordAbsorbH05	1250	16
00029543	Daedric Sword of Lethargy	EnchDaedricSwordStamina05	1250	16
00028FE1	Daedric Sword of Lightning	EnchDaedricSwordShock05	1250	16
00029043	Daedric Sword of Malediction	EnchDaedricSwordSoulTrap05	1250	16
00028F46	Daedric Sword of Nullifying	EnchDaedricSwordMagicka06	1250	16
00028FDD	Daedric Sword of Petrifying	EnchDaedricSwordParalyze06	1250	16
00028FEC	Daedric Sword of Storms	EnchDaedricSwordShock06	1250	16
00028F8C	Daedric Sword of Stunning	EnchDaedricSwordParalyze04	1250	16
00028E80	Daedric Sword of Subsuming	EnchDaedricSwordAbsorbS06	1250	16
00028E86	Daedric Sword of Terror	EnchDaedricSwordFear06	1250	16
00028E89	Daedric Sword of the Blaze	EnchDaedricSwordFire05	1250	16
00028E96	Daedric Sword of the Inferno	EnchDaedricSwordFire06	1250	16
00028E7D	Daedric Sword of the Sorcerer	EnchDaedricSwordAbsorbM06	1250	16
00028E7A	Daedric Sword of the Vampire	EnchDaedricSwordAbsorbH06	1250	16
00028FDE	Daedric Sword of Thunderbolts	EnchDaedricSwordShock04	1250	16
00028E7B	Daedric Sword of Winnowing	EnchDaedricSwordAbsorbM04	1250	16
00028EE9	Daedric Sword of Winter	EnchDaedricSwordFrost06	1250	16
000139B3	Daedric War Axe	DaedricWarAxe	1500	18
0002958C	Daedric War Axe of Animus	EnchDaedricWarAxeSoulTrap04	1500	18
00029578	Daedric War Axe of Annihilating	EnchDaedricWarAxeBanish06	1500	18
00029576	Daedric War Axe of Banishing	EnchDaedricWarAxeBanish04	1500	18
00029580	Daedric War Axe of Blizzards	EnchDaedricWarAxeFrost05	1500	18
0002958E	Daedric War Axe of Damnation	EnchDaedricWarAxeSoulTrap06	1500	18
0002958F	Daedric War Axe of Debilitation	EnchDaedricWarAxeStamina04	1500	18
00029582	Daedric War Axe of Depleting	EnchDaedricWarAxeMagicka04	1500	18
00029579	Daedric War Axe of Despair	EnchDaedricWarAxeFear04	1500	18
00029561	Daedric War Axe of Devouring	EnchDaedricWarAxeAbsorbH04	1500	18
0002957A	Daedric War Axe of Dread	EnchDaedricWarAxeFear05	1500	18
00029583	Daedric War Axe of Enervating	EnchDaedricWarAxeMagicka05	1500	18
00029571	Daedric War Axe of Evoking	EnchDaedricWarAxeAbsorbM05	1500	18
00029594	Daedric War Axe of Exhaustion	EnchDaedricWarAxeStamina06	1500	18
00029577	Daedric War Axe of Expelling	EnchDaedricWarAxeBanish05	1500	18
0002957C	Daedric War Axe of Fire	EnchDaedricWarAxeFire04	1500	18
0002957F	Daedric War Axe of Freezing	EnchDaedricWarAxeFrost04	1500	18
00029574	Daedric War Axe of Garnering	EnchDaedricWarAxeAbsorbS05	1500	18
00029573	Daedric War Axe of Harvesting	EnchDaedricWarAxeAbsorbS04	1500	18
00029586	Daedric War Axe of Immobilizing	EnchDaedricWarAxeParalyze05	1500	18
00029562	Daedric War Axe of Leeching	EnchDaedricWarAxeAbsorbH05	1500	18
00029591	Daedric War Axe of Lethargy	EnchDaedricWarAxeStamina05	1500	18
00029589	Daedric War Axe of Lightning	EnchDaedricWarAxeShock05	1500	18
0002958D	Daedric War Axe of Malediction	EnchDaedricWarAxeSoulTrap05	1500	18
00029584	Daedric War Axe of Nullifying	EnchDaedricWarAxeMagicka06	1500	18
00029587	Daedric War Axe of Petrifying	EnchDaedricWarAxeParalyze06	1500	18
0002958A	Daedric War Axe of Storms	EnchDaedricWarAxeShock06	1500	18
00029585	Daedric War Axe of Stunning	EnchDaedricWarAxeParalyze04	1500	18
00029575	Daedric War Axe of Subsuming	EnchDaedricWarAxeAbsorbS06	1500	18
0002957B	Daedric War Axe of Terror	EnchDaedricWarAxeFear06	1500	18
0002957D	Daedric War Axe of the Blaze	EnchDaedricWarAxeFire05	1500	18
0002957E	Daedric War Axe of the Inferno	EnchDaedricWarAxeFire06	1500	18
00029572	Daedric War Axe of the Sorcerer	EnchDaedricWarAxeAbsorbM06	1500	18
00029563	Daedric War Axe of the Vampire	EnchDaedricWarAxeAbsorbH06	1500	18
00029588	Daedric War Axe of Thunderbolts	EnchDaedricWarAxeShock04	1500	18
000139BA	Daedric Warhammer	DaedricWarhammer	4000	31
000295B7	Daedric Warhammer of Animus	EnchDaedricWarhammerSoulTrap04	4000	31
000295A4	Daedric Warhammer of Annihilating	EnchDaedricWarhammerBanish06	4000	31
000295A2	Daedric Warhammer of Banishing	EnchDaedricWarhammerBanish04	4000	31
000295AC	Daedric Warhammer of Blizzards	EnchDaedricWarhammerFrost05	4000	31
000295B9	Daedric Warhammer of Damnation	EnchDaedricWarhammerSoulTrap06	4000	31
000295BA	Daedric Warhammer of Debilitation	EnchDaedricWarhammerStamina04	4000	31
000295AE	Daedric Warhammer of Depleting	EnchDaedricWarhammerMagicka04	4000	31
000295A5	Daedric Warhammer of Despair	EnchDaedricWarhammerFear04	4000	31
00029598	Daedric Warhammer of Devouring	EnchDaedricWarhammerAbsorbH04	4000	31
000295A6	Daedric Warhammer of Dread	EnchDaedricWarhammerFear05	4000	31
